Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PDT,PDT,,34,35,69,2.54189,4.247772,6.789661,1,1,1,2.490272,0.172896,0.176125,0,0.027165,0,0,0.944538,0.971705
PV,PV,,33,35,68,2.632799,2.540107,5.172906,1,1,1,1.650191,0.16977,0.176222,0,0.026323,0,0,0.944538,0.950851
PATRI,PATRI,,34,32,66,3.010695,2.023173,5.033868,2,0.918919,0.955882,1.712178,0.171474,0.164338,0,0.027858,0,0,0.961676,0.984896
PC DO B,PC DO B,,34,35,69,1.096257,1.848485,2.944742,1,1,1,3.402784,0.170797,0.17619,0,0.027652,0,0,0.944538,0.97059
PSOL,PSOL,,35,35,70,1.301248,0.941176,2.242424,1,1,1,3.583737,0.175697,0.176039,0,0.028401,0,0,0.944538,1
MDB,MDB,,33,34,67,2.317291,6.320856,8.638146,2,0.971429,0.985294,0.759995,0.169857,0.173389,0,0.026304,0,0,0.944538,0.950851
PCB,PCB,,17,28,45,0.049911,0.089127,0.139037,2,0.85,0.911765,0,0.091882,0.148796,0,0.015886,0,0,0.98172,0.498276
PHS,PHS,,34,34,68,2,1.930481,3.930481,2,0.971429,0.985294,2.857074,0.171227,0.172357,0,0.027901,0,0,0.944538,0.984896
NOVO,NOVO,,34,31,65,1.386809,0.417112,1.803922,2,0.894737,0.941176,1.130237,0.1731,0.158947,1,0.027473,0,0,0.964349,0.979145
PP,PP,,34,35,69,2.918004,3.921569,6.839572,1,1,1,3.35252,0.171109,0.17618,0,0.027921,0,0,0.944538,0.984896
SD,SD,,34,33,67,3.538324,2.402852,5.941176,2,0.944444,0.970588,1.196903,0.172776,0.169479,1,0.027518,0,0,0.964349,0.979145
PMN,PMN,,34,34,68,1.700535,1.253119,2.953654,2,0.971429,0.985294,1.523153,0.172983,0.173292,1,0.027146,0,0,0.944538,0.971705
PROS,PROS,,34,33,67,3.955437,1.311943,5.26738,2,0.944444,0.970588,1.196903,0.172776,0.169479,1,0.027518,0,0,0.964349,0.979145
AVANTE,AVANTE,,33,34,67,2.372549,1.172906,3.545455,2,0.971429,0.985294,0.759995,0.169857,0.173389,1,0.026304,0,0,0.944538,0.950851
PSB,PSB,,34,35,69,3.666667,3.661319,7.327986,1,1,1,2.490272,0.172896,0.176125,2,0.027165,0,0,0.944538,0.971705
PSTU,PSTU,,24,20,44,0.137255,0.13369,0.270945,2,0.693878,0.779412,0,0.124015,0.101391,0,0.019937,0,0,0.963218,0.691379
PSD,PSD,,33,34,67,2.572193,3.01426,5.586453,2,0.971429,0.985294,0.759995,0.169857,0.173389,0,0.026304,0,0,0.944538,0.950851
PRB,PRB,,34,35,69,2.793226,2.383244,5.176471,1,1,1,2.490272,0.172896,0.176125,1,0.027165,0,0,0.944538,0.971705
PRP,PRP,,33,34,67,2.188948,1.541889,3.730838,2,0.971429,0.985294,0.759995,0.169857,0.173389,1,0.026304,0,0,0.944538,0.950851
PT,PT,,34,35,69,1.388592,4.520499,5.909091,1,1,1,3.402784,0.170797,0.17619,0,0.027652,0,0,0.944538,0.97059
DC,DC,,35,35,70,1.720143,1.511586,3.231729,1,1,1,3.583737,0.175697,0.176039,1,0.028401,0,0,0.944538,1
DEM,DEM,,34,34,68,1.957219,3.850267,5.807487,2,0.971429,0.985294,1.742348,0.172658,0.173302,0,0.027539,0,0,0.944538,0.979145
PCO,PCO,,33,18,51,0.392157,0.058824,0.45098,2,0.666667,0.75,0.436967,0.168199,0.090855,0,0.02635,0,0,0.944742,0.941228
PMB,PMB,,34,32,66,1.409982,0.836007,2.245989,2,0.918919,0.955882,1.011041,0.173261,0.164283,1,0.027104,0,0,0.958111,0.971705
PTB,PTB,,35,35,70,2.008913,4.506239,6.515152,1,1,1,3.583737,0.175697,0.176039,2,0.028401,0,0,0.944538,1
PODE,PODE,,35,35,70,3.83779,1.513369,5.351159,1,1,1,3.583737,0.175697,0.176039,1,0.028401,0,0,0.944538,1
PPS,PPS,,32,34,66,1.360071,2.392157,3.752228,2,0.971429,0.985294,0.528778,0.16527,0.17353,1,0.025825,0,0,0.961676,0.935746
PRTB,PRTB,,34,34,68,2.081996,1.188948,3.270945,2,0.971429,0.985294,1.742348,0.172658,0.173302,1,0.027539,0,0,0.944538,0.979145
REDE,REDE,,35,34,69,1.483066,0.545455,2.02852,2,0.971429,0.985294,3.038291,0.175815,0.172215,1,0.028381,0,0,0.944538,1
PTC,PTC,,33,34,67,1.996435,1.347594,3.344029,2,0.971429,0.985294,1.204746,0.169888,0.172398,1,0.026304,0,0,0.964349,0.950851
PPL,PPL,,35,33,68,1.329768,0.623886,1.953654,2,0.944444,0.970588,1.960061,0.175902,0.169383,1,0.028359,0,0,0.944538,1
PR,PR,,33,35,68,1.843137,3.065954,4.909091,1,1,1,1.650191,0.16977,0.176222,1,0.026323,0,0,0.944538,0.950851
PSC,PSC,,32,35,67,1.746881,2.486631,4.233512,1,1,1,1.418975,0.165182,0.176363,1,0.025843,0,0,0.944538,0.935746
PSDB,PSDB,,34,35,69,2.59893,6.228164,8.827094,1,1,1,2.490272,0.172896,0.176125,1,0.027165,0,0,0.944538,0.971705
PSL,PSL,,35,34,69,8.622103,2.12656,10.748663,2,0.971429,0.985294,2.505506,0.175784,0.173206,1,0.028381,0,0,0.944538,1
