Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PDT,PDT,,27,28,55,3.188386,2.72931,5.917695,2,0.965517,0.982143,8.181965,0.198676,0.20049,0,0.032493,0,0,0.898148,0.967394
PV,PV,,27,26,53,1.640146,1.111111,2.751257,2,0.903226,0.946429,6.550547,0.195174,0.193662,0,0.033197,0,0,0.878307,0.963022
PC DO B,PC DO B,,28,26,54,2.237769,0.904893,3.142661,2,0.903226,0.946429,5.448899,0.200553,0.193447,0,0.037033,0,0,0.898148,0.998157
PSOL,PSOL,,27,25,52,1.222222,0.508916,1.731139,2,0.875,0.928571,1.507595,0.19929,0.185127,0,0.032376,0,0,0.930199,0.967394
MDB,MDB,,28,27,55,4.591678,4.515318,9.106996,2,0.933333,0.964286,8.015298,0.199995,0.199155,0,0.033704,0,0,0.842365,0.969237
PPS,PPS,,27,27,54,1.450846,1.623228,3.074074,2,0.933333,0.964286,1.931965,0.198728,0.199206,0,0.032457,0,0,0.898148,0.967394
PHS,PHS,,27,26,53,0.657522,0.528121,1.185642,2,0.903226,0.946429,1.448899,0.198955,0.193511,0,0.032418,0,0,0.898148,0.967394
PP,PP,,27,27,54,1.96845,2.630087,4.598537,2,0.933333,0.964286,7.276038,0.194946,0.199357,0,0.033236,0,0,0.878307,0.963022
SD,SD,,0,1,1,0,0.000457,0.000457,3,0.491525,0.505747,0,0,0.007755,1,0.004839,0,1,0,0
PMN,PMN,,26,26,52,0.529492,0.546411,1.075903,2,0.903226,0.946429,0.800547,0.193907,0.193713,0,0.03195,0,0,0.938746,0.961179
PSL,PSL,,26,27,53,0.651577,0.671696,1.323274,2,0.933333,0.964286,1.192704,0.193679,0.199408,1,0.031988,0,0,0.938746,0.961179
AVANTE,AVANTE,,27,27,54,0.578875,0.458162,1.037037,2,0.933333,0.964286,1.931965,0.198728,0.199206,0,0.032457,0,0,0.898148,0.967394
PSB,PSB,,29,27,56,1.946045,1.863283,3.809328,2,0.933333,0.964286,34.265298,0.200646,0.199129,0,0.041064,0,0,0.837438,0.998547
PROS,PROS,,0,1,1,0,0.000457,0.000457,3,0.491525,0.505747,0,0,0.008021,0,0.004839,0,2,0,0
PRB,PRB,,27,27,54,1.998628,1.119342,3.11797,2,0.933333,0.964286,29.192704,0.19399,0.199395,1,0.035975,0,0,0.873016,0.961569
PRP,PRP,,25,25,50,0.463649,0.545496,1.009145,2,0.875,0.928571,0.705816,0.1858,0.187408,1,0.030283,0,0,0.947692,0.902336
PT,PT,,28,28,56,2.374028,3.371285,5.745313,2,0.965517,0.982143,13.515298,0.200274,0.200426,0,0.037119,0,0,0.898148,0.998157
DC,DC,,27,26,53,0.494284,0.549154,1.043439,2,0.903226,0.946429,33.749294,0.194797,0.187348,0,0.036023,0,0,0.85582,0.970768
DEM,DEM,,26,27,53,1.306356,3.064929,4.371285,2,0.933333,0.964286,1.192704,0.193679,0.199408,0,0.031988,0,0,0.938746,0.961179
PCO,PCO,,4,16,20,0.002286,0.011888,0.014175,2,0.7,0.785714,0,0.032064,0.126089,1,0.008992,0,0,0.996324,0.151578
PTB,PTB,,27,28,55,1.769547,2.729767,4.499314,2,0.965517,0.982143,8.181965,0.198676,0.20049,0,0.032493,0,0,0.898148,0.967394
PODE,PODE,,27,26,53,0.414266,0.473251,0.887517,2,0.903226,0.946429,1.714072,0.199005,0.192277,1,0.032418,0,0,0.898148,0.967394
PSD,PSD,,1,4,5,0.000457,0.002286,0.002743,3,0.528302,0.565476,0,0.007489,0.031649,1,0.006042,0,0,1,0.037792
PRTB,PRTB,,25,25,50,0.601738,0.423868,1.025606,2,0.875,0.928571,0.763258,0.185769,0.187121,1,0.030404,0,0,0.918462,0.906504
PCB,PCB,,23,25,48,0.047096,0.05807,0.105167,2,0.875,0.928571,0.376812,0.173042,0.186178,0,0.028841,0,0,0.978333,0.86081
PTC,PTC,,26,27,53,0.652492,0.41701,1.069502,2,0.933333,0.964286,1.50214,0.192719,0.199446,1,0.031445,0,0,0.898148,0.940005
PPL,PPL,,21,5,26,0.051669,0.002743,0.054412,2,0.54902,0.589286,0,0.165828,0.03989,0,0.0276,0,0,1,0.789675
PR,PR,,25,27,52,1.566529,1.776406,3.342936,2,0.933333,0.964286,0.76288,0.18767,0.199648,1,0.030977,0,0,0.938746,0.933789
PSC,PSC,,26,28,54,1.475995,0.908093,2.384088,2,0.965517,0.982143,7.442704,0.193628,0.200692,1,0.032024,0,0,0.898148,0.961179
PSDB,PSDB,,29,27,56,3.046182,3.371742,6.417924,2,0.933333,0.964286,12.348632,0.201592,0.199091,1,0.038326,0,0,0.842365,1
PSTU,PSTU,,19,20,39,0.017833,0.029264,0.047096,3,0.736842,0.833333,0,0.142236,0.150071,0,0.024179,0,0,0.98419,0.701507
