Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PDT,PDT,,34,35,69,5.978167,7.025927,13.004094,1,1,1,3.581517,0.172987,0.177686,0,0.028946,0,0,0.934454,0.972778
PV,PV,,33,35,68,3.732317,4.029566,7.761883,1,1,1,1.654244,0.171017,0.177747,0,0.026857,0,0,0.934454,0.943163
PATRI,PATRI,,34,35,69,3.153741,0.512167,3.665909,1,1,1,4.56386,0.17201,0.177716,0,0.029588,0,0,0.934454,0.971885
PC DO B,PC DO B,,34,35,69,2.783489,2.822151,5.60564,1,1,1,3.619395,0.173011,0.177685,0,0.02869,0,0,0.934454,0.970385
PSOL,PSOL,,33,35,68,1.345235,0.970434,2.31567,1,1,1,2.598708,0.170016,0.177778,0,0.027755,0,0,0.934454,0.944663
MDB,MDB,,35,35,70,8.993859,11.217421,20.21128,1,1,1,5.546668,0.17498,0.177624,0,0.030779,0,0,0.934454,1
PCB,PCB,,26,34,60,0.043211,0.122584,0.165795,2,0.971429,0.985294,0.035714,0.137314,0.174058,0,0.021583,0,0,0.939394,0.748137
PHS,PHS,,34,35,69,2.962702,1.976348,4.939049,1,1,1,3.619395,0.173011,0.177685,0,0.02869,0,0,0.934454,0.970385
NOVO,NOVO,,32,19,51,0.188765,0.007733,0.196498,2,0.68,0.764706,1,0.165864,0.095827,1,0.027088,0,0,0.945076,0.92105
PP,PP,,33,35,68,4.968842,7.315442,12.284285,1,1,1,3.396322,0.168236,0.177833,0,0.028269,0,0,0.934454,0.946576
SD,SD,,34,33,67,6.19718,0.968615,7.165795,2,0.944444,0.970588,2.959965,0.173295,0.168519,1,0.028648,0,0,0.934454,0.970385
PMN,PMN,,32,34,66,1.760291,1.78781,3.548101,2,0.971429,0.985294,0.426291,0.168179,0.173582,0,0.025648,0,0,0.934454,0.915048
PROS,PROS,,33,33,66,4.120082,0.977712,5.097794,2,0.944444,0.970588,2.045098,0.170295,0.168785,1,0.027715,0,0,0.934454,0.944663
AVANTE,AVANTE,,34,35,69,1.772117,1.627928,3.400045,1,1,1,4.56386,0.17201,0.177716,0,0.029588,0,0,0.934454,0.971885
PSB,PSB,,34,35,69,6.298385,6.211508,12.509893,1,1,1,4.56386,0.17201,0.177716,1,0.029588,0,0,0.934454,0.971885
PSTU,PSTU,,29,31,60,0.024335,0.06186,0.086195,2,0.894737,0.941176,0.10468,0.152816,0.158602,0,0.023693,0,0,0.975269,0.835302
PSD,PSD,,33,35,68,8.794405,4.438253,13.232659,1,1,1,1.654244,0.171017,0.177747,1,0.026857,0,0,0.934454,0.943163
PRB,PRB,,35,35,70,4.954514,3.229702,8.184217,1,1,1,5.546668,0.17498,0.177624,1,0.030779,0,0,0.934454,1
PRP,PRP,,33,34,67,2.096657,1.935638,4.032295,2,0.971429,0.985294,1.33767,0.171149,0.17349,1,0.026838,0,0,0.934454,0.943163
PT,PT,,33,35,68,2.749147,8.513305,11.262452,1,1,1,2.636587,0.170041,0.177777,0,0.027499,0,0,0.934454,0.94227
DC,DC,,32,35,67,1.48101,1.698886,3.179895,1,1,1,0.671436,0.168047,0.177839,0,0.025666,0,0,0.934454,0.915048
DEM,DEM,,33,35,68,4.165567,7.502843,11.66841,1,1,1,1.654244,0.171017,0.177747,0,0.026857,0,0,0.934454,0.943163
PCO,PCO,,30,30,60,0.038208,0.018422,0.05663,2,0.871795,0.926471,0.105911,0.15838,0.153255,0,0.024161,0,0,0.966856,0.857417
PMB,PMB,,31,12,43,0.151922,0.003411,0.155333,2,0.607143,0.676471,0.284314,0.166864,0.064315,1,0.026172,0,0,0.962702,0.891436
PTB,PTB,,33,35,68,4.237435,7.191949,11.429384,1,1,1,1.654244,0.171017,0.177747,1,0.026857,0,0,0.934454,0.943163
PODE,PODE,,32,35,67,2.074141,1.585627,3.659768,1,1,1,2.413513,0.165266,0.177925,1,0.027078,0,0,0.934454,0.918461
PPS,PPS,,34,35,69,3.101205,4.492381,7.593587,1,1,1,3.619395,0.173011,0.177685,1,0.02869,0,0,0.934454,0.970385
PRTB,PRTB,,32,35,67,1.420287,1.465317,2.885604,1,1,1,0.671436,0.168047,0.177839,1,0.025666,0,0,0.934454,0.915048
REDE,REDE,,34,12,46,0.312941,0.005003,0.317944,2,0.607143,0.676471,1.065633,0.178513,0.063533,0,0.029406,0,0,0.950089,0.970385
PTC,PTC,,32,33,65,1.852172,1.724585,3.576757,2,0.944444,0.970588,1.189908,0.1664,0.168253,1,0.026182,0,0,0.939394,0.917637
PPL,PPL,,32,35,67,0.848761,0.423925,1.272686,1,1,1,0.671436,0.168047,0.177839,1,0.025666,0,0,0.934454,0.915048
PR,PR,,34,35,69,4.919491,5.551285,10.470776,1,1,1,3.581517,0.172987,0.177686,1,0.028946,0,0,0.934454,0.972778
PSC,PSC,,32,35,67,3.717535,3.717535,7.435069,1,1,1,0.671436,0.168047,0.177839,1,0.025666,0,0,0.934454,0.915048
PSDB,PSDB,,33,35,68,9.595406,9.510348,19.105754,1,1,1,1.654244,0.171017,0.177747,1,0.026857,0,0,0.934454,0.943163
PSL,PSL,,33,35,68,2.08665,2.276552,4.363202,1,1,1,2.636587,0.170041,0.177777,1,0.027499,0,0,0.934454,0.94227
