Source,Target,Type,Id,Label,timeset,Weight
PDT,PDT,Directed,0,,,0.219851
PDT,PV,Directed,1,,,0.048026
PDT,PATRI,Directed,2,,,0.091782
PDT,PC DO B,Directed,3,,,0.116329
PDT,PSOL,Directed,4,,,0.085379
PDT,MDB,Directed,5,,,0.401281
PDT,PCB,Directed,6,,,0.001067
PDT,PHS,Directed,7,,,0.186766
PDT,PROS,Directed,8,,,0.19317
PDT,PP,Directed,9,,,0.161153
PDT,PPS,Directed,10,,,0.03842
PDT,PTB,Directed,11,,,0.138741
PDT,PSL,Directed,12,,,0.021345
PDT,PSB,Directed,13,,,0.159018
PDT,PRB,Directed,14,,,0.074707
PDT,PRP,Directed,15,,,0.041622
PDT,PT,Directed,16,,,0.148346
PDT,DC,Directed,17,,,0.027748
PDT,DEM,Directed,18,,,0.051227
PDT,SD,Directed,19,,,0.592316
PDT,PODE,Directed,20,,,0.029883
PDT,PR,Directed,21,,,0.062967
PDT,PSD,Directed,22,,,0.152615
PDT,PRTB,Directed,23,,,0.054429
PDT,PMN,Directed,24,,,0.035219
PDT,PTC,Directed,25,,,0.01174
PDT,PPL,Directed,26,,,0.001067
PDT,AVANTE,Directed,27,,,0.029883
PDT,PSC,Directed,28,,,0.052295
PDT,PSDB,Directed,29,,,0.263607
PDT,PSTU,Directed,30,,,0.001067
PV,PDT,Directed,31,,,0.060832
PV,PV,Directed,32,,,0.164354
PV,PATRI,Directed,33,,,0.077908
PV,PC DO B,Directed,34,,,0.056564
PV,PSOL,Directed,35,,,0.027748
PV,MDB,Directed,36,,,0.152615
PV,PPS,Directed,37,,,0.029883
PV,PHS,Directed,38,,,0.053362
PV,PRP,Directed,39,,,0.013874
PV,PP,Directed,40,,,0.048026
PV,PT,Directed,41,,,0.049093
PV,PSTU,Directed,42,,,0.002134
PV,PSB,Directed,43,,,0.08111
PV,PROS,Directed,44,,,0.122732
PV,PRB,Directed,45,,,0.049093
PV,PTB,Directed,46,,,0.028815
PV,DC,Directed,47,,,0.012807
PV,DEM,Directed,48,,,0.026681
PV,SD,Directed,49,,,0.13127
PV,PODE,Directed,50,,,0.014941
PV,PR,Directed,51,,,0.033084
PV,PSD,Directed,52,,,0.084312
PV,PRTB,Directed,53,,,0.012807
PV,PMN,Directed,54,,,0.025614
PV,PTC,Directed,55,,,0.012807
PV,PPL,Directed,56,,,0.003202
PV,AVANTE,Directed,57,,,0.027748
PV,PSC,Directed,58,,,0.044824
PV,PSDB,Directed,59,,,0.138741
PV,PSL,Directed,60,,,0.010672
PATRI,PDT,Directed,61,,,0.003202
PATRI,PV,Directed,62,,,0.002134
PATRI,PATRI,Directed,63,,,0.180363
