Source,Target,Type,Id,Label,timeset,Weight
PDT,PDT,Directed,0,,,0.432568
PDT,PV,Directed,1,,,0.249943
PDT,PATRI,Directed,2,,,0.228792
PDT,PC DO B,Directed,3,,,0.229702
PDT,PSOL,Directed,4,,,0.088015
PDT,MDB,Directed,5,,,0.656584
PDT,PCB,Directed,6,,,0.004094
PDT,PHS,Directed,7,,,0.214464
PDT,NOVO,Directed,8,,,0.013191
PDT,PROS,Directed,9,,,0.2272
PDT,PP,Directed,10,,,0.377758
PDT,PPS,Directed,11,,,0.150102
PDT,PTB,Directed,12,,,0.327496
PDT,PSL,Directed,13,,,0.110985
PDT,AVANTE,Directed,14,,,0.113032
PDT,PSB,Directed,15,,,0.324539
PDT,PRB,Directed,16,,,0.230384
PDT,PRP,Directed,17,,,0.095747
PDT,PT,Directed,18,,,0.188538
PDT,DC,Directed,19,,,0.081647
PDT,DEM,Directed,20,,,0.272231
PDT,PCO,Directed,21,,,0.001592
PDT,PMB,Directed,22,,,0.009097
PDT,SD,Directed,23,,,0.483057
PDT,PODE,Directed,24,,,0.144644
PDT,PSD,Directed,25,,,0.423471
PDT,PRTB,Directed,26,,,0.055947
PDT,PMN,Directed,27,,,0.13259
PDT,PTC,Directed,28,,,0.108028
PDT,PPL,Directed,29,,,0.046623
PDT,PR,Directed,30,,,0.240391
PDT,REDE,Directed,31,,,0.02206
PDT,PSC,Directed,32,,,0.208551
PDT,PSDB,Directed,33,,,0.531954
PDT,PSTU,Directed,34,,,0.00091
PV,PDT,Directed,35,,,0.216511
PV,PV,Directed,36,,,0.185126
PV,PATRI,Directed,37,,,0.162838
PV,PC DO B,Directed,38,,,0.106436
PV,PSOL,Directed,39,,,0.049124
PV,MDB,Directed,40,,,0.298385
PV,PCB,Directed,41,,,0.000682
PV,PHS,Directed,42,,,0.131453
PV,NOVO,Directed,43,,,0.010462
PV,PP,Directed,44,,,0.156698
PV,SD,Directed,45,,,0.201046
PV,REDE,Directed,46,,,0.021151
PV,PSTU,Directed,47,,,0.000682
PV,PSB,Directed,48,,,0.219013
PV,PROS,Directed,49,,,0.158062
PV,PSD,Directed,50,,,0.279054
PV,PRB,Directed,51,,,0.187628
PV,PT,Directed,52,,,0.068228
PV,PMB,Directed,53,,,0.004776
PV,DEM,Directed,54,,,0.153059
PV,PCO,Directed,55,,,0.001137
PV,DC,Directed,56,,,0.048442
PV,PTB,Directed,57,,,0.125085
PV,PODE,Directed,58,,,0.075733
PV,PR,Directed,59,,,0.16625
PV,PPS,Directed,60,,,0.127587
PV,PRTB,Directed,61,,,0.048897
PV,PMN,Directed,62,,,0.062543
PV,PTC,Directed,63,,,0.054128
PV,PRP,Directed,64,,,0.091653
PV,PPL,Directed,65,,,0.032522
PV,AVANTE,Directed,66,,,0.059586
PV,PSC,Directed,67,,,0.120764
PV,PSDB,Directed,68,,,0.334091
PV,PSL,Directed,69,,,0.07073
PATRI,PDT,Directed,70,,,0.027974
PATRI,PV,Directed,71,,,0.017285
