Source,Target,Type,Id,Label,timeset,Weight
PDT,PDT,Directed,0,,,0.407542
PDT,PV,Directed,1,,,0.115301
PDT,PC DO B,Directed,2,,,0.106599
PDT,PSOL,Directed,3,,,0.036258
PDT,MDB,Directed,4,,,0.336476
PDT,PPS,Directed,5,,,0.060914
PDT,PHS,Directed,6,,,0.028281
PDT,PP,Directed,7,,,0.163887
PDT,PT,Directed,8,,,0.31327
PDT,PSL,Directed,9,,,0.02248
PDT,PSB,Directed,10,,,0.099347
PDT,PRB,Directed,11,,,0.051487
PDT,PRP,Directed,12,,,0.012328
PDT,DC,Directed,13,,,0.021755
PDT,DEM,Directed,14,,,0.084119
PDT,PCO,Directed,15,,,0.000725
PDT,PTB,Directed,16,,,0.131255
PDT,PODE,Directed,17,,,0.028281
PDT,PR,Directed,18,,,0.084119
PDT,PSD,Directed,19,,,0.00145
PDT,PRTB,Directed,20,,,0.019579
PDT,PMN,Directed,21,,,0.026106
PDT,PTC,Directed,22,,,0.035533
PDT,PPL,Directed,23,,,0.002901
PDT,AVANTE,Directed,24,,,0.027556
PDT,PSC,Directed,25,,,0.099347
PDT,PSDB,Directed,26,,,0.287165
PV,PDT,Directed,27,,,0.042785
PV,PV,Directed,28,,,0.235678
PV,PC DO B,Directed,29,,,0.039884
PV,PSOL,Directed,30,,,0.012328
PV,MDB,Directed,31,,,0.111675
PV,PCB,Directed,32,,,0.000725
PV,PHS,Directed,33,,,0.012328
PV,PRP,Directed,34,,,0.007252
PV,PP,Directed,35,,,0.032632
PV,PTB,Directed,36,,,0.031907
PV,PSL,Directed,37,,,0.012328
PV,AVANTE,Directed,38,,,0.007977
PV,PSB,Directed,39,,,0.06744
PV,PRB,Directed,40,,,0.021755
PV,PT,Directed,41,,,0.06889
PV,DC,Directed,42,,,0.010152
PV,DEM,Directed,43,,,0.027556
PV,PODE,Directed,44,,,0.014503
PV,PPS,Directed,45,,,0.033358
PV,PRTB,Directed,46,,,0.002901
PV,PMN,Directed,47,,,0.006526
PV,PTC,Directed,48,,,0.010877
PV,PPL,Directed,49,,,0.000725
PV,PR,Directed,50,,,0.031182
PV,PSC,Directed,51,,,0.047861
PV,PSDB,Directed,52,,,0.100798
PC DO B,PDT,Directed,53,,,0.039884
PC DO B,PV,Directed,54,,,0.028281
PC DO B,PC DO B,Directed,55,,,0.282814
PC DO B,PSOL,Directed,56,,,0.018129
PC DO B,MDB,Directed,57,,,0.060189
PC DO B,PCB,Directed,58,,,0.002901
PC DO B,PHS,Directed,59,,,0.009427
PC DO B,PP,Directed,60,,,0.019579
PC DO B,PT,Directed,61,,,0.115301
PC DO B,PSTU,Directed,62,,,0.000725
PC DO B,AVANTE,Directed,63,,,0.011603
PC DO B,PSB,Directed,64,,,0.039884
PC DO B,PRB,Directed,65,,,0.013778
PC DO B,PRP,Directed,66,,,0.007977
PC DO B,PSD,Directed,67,,,0.000725
PC DO B,DEM,Directed,68,,,0.02103
PC DO B,DC,Directed,69,,,0.009427
PC DO B,PTB,Directed,70,,,0.023205
PC DO B,PODE,Directed,71,,,0.009427
PC DO B,PPS,Directed,72,,,0.011603
PC DO B,PRTB,Directed,73,,,0.005801
PC DO B,PMN,Directed,74,,,0.009427
PC DO B,PTC,Directed,75,,,0.006526
PC DO B,PPL,Directed,76,,,0.00145
PC DO B,PR,Directed,77,,,0.017404
PC DO B,PSC,Directed,78,,,0.018854
PC DO B,PSDB,Directed,79,,,0.056563
PC DO B,PSL,Directed,80,,,0.007977
PSOL,PDT,Directed,81,,,0.013778
PSOL,PV,Directed,82,,,0.008702
PSOL,PC DO B,Directed,83,,,0.011603
PSOL,PSOL,Directed,84,,,0.193619
PSOL,MDB,Directed,85,,,0.020305
PSOL,PCB,Directed,86,,,0.000725
PSOL,PHS,Directed,87,,,0.00145
PSOL,PP,Directed,88,,,0.007252
PSOL,PRP,Directed,89,,,0.002175
PSOL,PSL,Directed,90,,,0.003626
PSOL,PSB,Directed,91,,,0.011603
PSOL,PRB,Directed,92,,,0.006526
PSOL,PT,Directed,93,,,0.034808
PSOL,DC,Directed,94,,,0.00145
PSOL,DEM,Directed,95,,,0.007252
PSOL,PTB,Directed,96,,,0.005076
PSOL,PODE,Directed,97,,,0.002175
PSOL,PR,Directed,98,,,0.005076
PSOL,PPS,Directed,99,,,0.004351
PSOL,PRTB,Directed,100,,,0.004351
PSOL,PMN,Directed,101,,,0.003626
PSOL,PTC,Directed,102,,,0.002175
PSOL,AVANTE,Directed,103,,,0.005076
PSOL,PSC,Directed,104,,,0.005801
PSOL,PSDB,Directed,105,,,0.015228
PSOL,PSTU,Directed,106,,,0.000725
