Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PDT,PDT,,35,34,69,6.3515,7.880815,14.232315,2,0.971429,0.985294,1.033127,0.174738,0.17167,0,0.027807,0,0,0.955462,1
PV,PV,,35,34,69,4.209744,4.736031,8.945775,2,0.971429,0.985294,1.033127,0.174738,0.17167,0,0.027807,0,0,0.955462,1
PATRI,PATRI,,35,34,69,3.943298,1.388935,5.332232,2,0.971429,0.985294,4.629522,0.174829,0.168667,0,0.027807,0,0,0.955462,1
PC DO B,PC DO B,,35,33,68,2.410129,3.224608,5.634737,2,0.944444,0.970588,0.595446,0.174853,0.167886,0,0.027786,0,0,0.955462,1
PSOL,PSOL,,34,34,68,0.812001,1.063584,1.875585,2,0.971429,0.985294,0.83053,0.170214,0.171808,0,0.027023,0,0,0.955462,0.971067
MDB,MDB,,35,35,70,8.269749,12.307184,20.576934,1,1,1,4.947413,0.174704,0.172781,0,0.027826,0,0,0.955462,1
PCB,PCB,,26,32,58,0.024773,0.103496,0.128269,2,0.944444,0.970588,0.03125,0.135028,0.169098,0,0.022496,0,0,0.987689,0.763122
PHS,PHS,,35,34,69,4.366914,2.931462,7.298376,2,0.971429,0.985294,4.509732,0.174819,0.168996,0,0.027807,0,0,0.955462,1
NOVO,NOVO,,33,29,62,0.222406,0.039637,0.262042,2,0.85,0.911765,0,0.16569,0.148517,1,0.026904,0,0,0.99053,0.972129
PP,PP,,35,34,69,6.441508,8.10267,14.544178,2,0.971429,0.985294,1.033127,0.174738,0.17167,0,0.027807,0,0,0.955462,1
SD,SD,,35,33,68,6.864024,2.433526,9.29755,2,0.944444,0.970588,0.715237,0.174863,0.167557,1,0.027786,0,0,0.955462,1
PMN,PMN,,35,33,68,1.968621,2.288742,4.257363,2,0.944444,0.970588,0.715237,0.174863,0.167557,0,0.027786,0,0,0.955462,1
PROS,PROS,,35,34,69,4.074319,2.451418,6.525736,2,0.971429,0.985294,4.509732,0.174819,0.168996,1,0.027807,0,0,0.955462,1
AVANTE,AVANTE,,35,33,68,1.959813,2.229562,4.189375,2,0.944444,0.970588,0.595446,0.174853,0.167886,0,0.027786,0,0,0.955462,1
PSB,PSB,,35,34,69,7.775392,7.238646,15.014038,2,0.971429,0.985294,1.033127,0.174738,0.17167,1,0.027807,0,0,0.955462,1
PSTU,PSTU,,25,33,58,0.018442,0.076521,0.094963,2,0.944444,0.970588,0.375884,0.124233,0.168165,0,0.020777,0,0,0.959893,0.710149
PSD,PSD,,35,33,68,10.015414,6.283512,16.298926,2,0.944444,0.970588,0.595446,0.174853,0.167886,1,0.027786,0,0,0.955462,1
PRB,PRB,,35,34,69,5.316268,4.279934,9.596201,2,0.971429,0.985294,1.033127,0.174738,0.17167,1,0.027807,0,0,0.955462,1
PRP,PRP,,35,35,70,2.917974,2.634187,5.552161,1,1,1,4.947413,0.174704,0.172781,1,0.027826,0,0,0.955462,1
PT,PT,,34,35,69,1.602257,8.733003,10.33526,1,1,1,4.544815,0.17018,0.172918,0,0.027042,0,0,0.955462,0.971067
DC,DC,,35,34,69,2.271401,2.041288,4.312689,2,0.971429,0.985294,1.033127,0.174738,0.17167,0,0.027807,0,0,0.955462,1
DEM,DEM,,35,34,69,5.220754,7.826865,13.047619,2,0.971429,0.985294,1.033127,0.174738,0.17167,0,0.027807,0,0,0.955462,1
PCO,PCO,,8,30,38,0.002477,0.028076,0.030553,2,0.871795,0.926471,0.083333,0.03646,0.152299,1,0.009122,0,0,0.966667,0.213479
PMB,PMB,,35,33,68,3.903386,0.295899,4.199284,2,0.944444,0.970588,0.595446,0.174853,0.167886,1,0.027786,0,0,0.955462,1
PTB,PTB,,35,33,68,4.876686,8.018993,12.895678,2,0.944444,0.970588,0.595446,0.174853,0.167886,1,0.027786,0,0,0.955462,1
PODE,PODE,,34,33,67,4.085879,2.390586,6.476466,2,0.944444,0.970588,0.576074,0.170224,0.167698,1,0.02753,0,0,0.981283,0.993383
PPS,PPS,,35,34,69,4.26507,5.003578,9.268649,2,0.971429,0.985294,1.033127,0.174738,0.17167,1,0.027807,0,0,0.955462,1
PRTB,PRTB,,35,34,69,2.222406,1.830168,4.052574,2,0.971429,0.985294,1.033127,0.174738,0.17167,1,0.027807,0,0,0.955462,1
REDE,REDE,,35,33,68,2.199835,0.217451,2.417286,2,0.944444,0.970588,0.715237,0.174863,0.167557,1,0.027786,0,0,0.955462,1
PTC,PTC,,34,33,67,2.557391,2.191027,4.748417,2,0.944444,0.970588,0.414617,0.170214,0.168027,1,0.02753,0,0,0.981283,0.993383
PPL,PPL,,35,33,68,1.393889,0.682356,2.076246,2,0.944444,0.970588,0.715237,0.174863,0.167557,1,0.027786,0,0,0.955462,1
PR,PR,,34,35,69,6.317369,6.511974,12.829342,1,1,1,4.544815,0.17018,0.172918,1,0.027042,0,0,0.955462,0.971067
PSC,PSC,,34,34,68,4.678778,4.47564,9.154418,2,0.971429,0.985294,0.852298,0.170099,0.171811,1,0.027551,0,0,0.981283,0.993383
PSDB,PSDB,,35,34,69,7.773465,10.327553,18.101019,2,0.971429,0.985294,1.033127,0.174738,0.17167,1,0.027807,0,0,0.955462,1
PSL,PSL,,35,34,69,4.007707,3.072117,7.079824,2,0.971429,0.985294,1.033127,0.174738,0.17167,1,0.027807,0,0,0.955462,1
