Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PDT,PDT,,29,31,60,1.816144,2.282511,4.098655,1,1,1,9.317119,0.191695,0.198216,0,0.028638,0,2,0.785282,0.9665
PV,PV,,26,29,55,1.041704,1.102242,2.143946,2,0.9375,0.966667,1.968832,0.180038,0.191313,0,0.026341,0,2,0.916256,0.919079
PATRI,PATRI,,26,1,27,0.073094,0.000448,0.073543,2,0.508475,0.516667,0,0.185762,0.007188,0,0.026811,0,2,0.964615,0.897688
PC DO B,PC DO B,,29,30,59,0.935874,0.859641,1.795516,2,0.967742,0.983333,6.492119,0.191777,0.19602,0,0.028612,0,2,0.829032,0.9665
PSOL,PSOL,,28,29,57,0.552466,0.440359,0.992825,2,0.9375,0.966667,3.164174,0.189838,0.190946,1,0.028136,0,2,0.916256,0.96605
MDB,MDB,,28,30,58,2.910314,3.57713,6.487444,2,0.967742,0.983333,4.403627,0.189665,0.195551,0,0.028163,0,2,0.829032,0.96605
PCB,PCB,,11,22,33,0.013901,0.041256,0.055157,2,0.769231,0.85,0,0.073199,0.148152,0,0.01363,0,2,0.932806,0.370472
PHS,PHS,,27,29,56,0.413004,0.46861,0.881614,2,0.9375,0.966667,1.401142,0.184192,0.193563,0,0.027613,0,2,0.901478,0.951977
PP,PP,,28,31,59,1.471749,2.319731,3.79148,1,1,1,6.257595,0.189563,0.198296,0,0.028189,0,2,0.829032,0.96605
SD,SD,,20,1,21,0.03139,0.000448,0.031839,0,0,0,0,0.13743,0,0,0.021291,0,0,0.947368,0.700396
PMN,PMN,,25,29,54,0.296413,0.481614,0.778027,2,0.9375,0.966667,0.491754,0.17344,0.193965,0,0.025466,0,2,0.901478,0.884275
PSL,PSL,,27,29,56,0.389686,0.609417,0.999103,2,0.9375,0.966667,2.993539,0.185614,0.190556,0,0.026863,0,2,0.864368,0.933152
AVANTE,AVANTE,,28,28,56,0.815695,0.469507,1.285202,2,0.909091,0.95,1.310206,0.189941,0.188201,1,0.028106,0,2,0.916256,0.96605
PSB,PSB,,28,29,57,1.982511,1.847982,3.830493,2,0.9375,0.966667,1.828627,0.189748,0.193355,1,0.028136,0,2,0.877011,0.96605
PROS,PROS,,8,0,8,0.004484,0,0.004484,0,0,0,0,0.058562,0,0,0.01209,0,1,1,0.286117
PSD,PSD,,29,30,59,5.278027,1.467713,6.74574,2,0.967742,0.983333,6.492119,0.191777,0.19602,1,0.028612,0,2,0.829032,0.9665
PRB,PRB,,27,28,55,0.921973,0.904036,1.826009,2,0.909091,0.95,1.294475,0.184453,0.186597,1,0.027584,0,2,0.933862,0.951977
PRP,PRP,,28,28,56,0.608072,0.56009,1.168161,2,0.909091,0.95,1.310206,0.189941,0.188201,1,0.028106,0,2,0.916256,0.96605
PT,PT,,30,31,61,5.497758,2.901794,8.399552,1,1,1,38.317119,0.191965,0.198206,1,0.051446,0,2,0.785282,1
DC,DC,,27,28,55,0.434529,0.4713,0.90583,2,0.909091,0.95,3.315,0.18001,0.188573,1,0.027159,0,2,0.887931,0.917623
DEM,DEM,,27,29,56,0.78565,2.493274,3.278924,2,0.9375,0.966667,1.053627,0.185503,0.193513,1,0.026863,0,2,0.877011,0.933152
PCO,PCO,,1,9,10,0.000448,0.004036,0.004484,2,0.574074,0.629032,0,0,0.056864,1,0.004863,0,3,0.888889,0.00045
PTB,PTB,,28,31,59,1.221973,2.127803,3.349776,1,1,1,8.199262,0.187451,0.198375,0,0.027363,0,2,0.785282,0.933601
PODE,PODE,,27,29,56,0.453363,0.413004,0.866368,2,0.9375,0.966667,3.289738,0.185664,0.189218,1,0.026863,0,2,0.84023,0.933152
PPS,PPS,,27,29,56,0.595964,1.334081,1.930045,2,0.9375,0.966667,1.401142,0.184192,0.193563,0,0.027613,0,2,0.901478,0.951977
PRTB,PRTB,,26,29,55,0.258744,0.353363,0.612108,2,0.9375,0.966667,2.084152,0.179086,0.191349,1,0.025989,0,2,0.916256,0.898347
REDE,REDE,,0,1,1,0,0.000448,0.000448,3,0.5,0.510753,0,0,0.007192,1,0.004863,0,4,0,0
PTC,PTC,,27,28,55,0.370404,0.420628,0.791031,2,0.909091,0.95,0.914738,0.185746,0.187022,1,0.026835,0,2,0.890394,0.933152
PPL,PPL,,27,26,53,0.43991,0.212556,0.652466,2,0.857143,0.916667,0.813977,0.186251,0.173544,1,0.026773,0,2,0.877011,0.933152
PR,PR,,29,30,59,0.913901,1.520628,2.434529,2,0.967742,0.983333,6.492119,0.191777,0.19602,1,0.028612,0,2,0.829032,0.9665
PSC,PSC,,27,29,56,1.124664,1.094619,2.219282,2,0.9375,0.966667,1.053627,0.185503,0.193513,1,0.026863,0,2,0.877011,0.933152
PSDB,PSDB,,30,30,60,2.195067,3.23722,5.432287,2,0.967742,0.983333,37.296484,0.192068,0.195461,1,0.032652,0,2,0.738636,0.966873
PSTU,PSTU,,25,17,42,0.197758,0.029148,0.226906,2,0.681818,0.766667,0.043478,0.173113,0.113187,1,0.025486,0,2,0.981667,0.882368
