Source,Target,Type,Id,Label,timeset,Weight
PDT,PDT,Directed,0,,,0.473094
PDT,PV,Directed,1,,,0.056951
PDT,PATRI,Directed,2,,,0.004036
PDT,PC DO B,Directed,3,,,0.06009
PDT,PSOL,Directed,4,,,0.024664
PDT,MDB,Directed,5,,,0.192825
PDT,PCB,Directed,6,,,0.000448
PDT,PHS,Directed,7,,,0.034529
PDT,PROS,Directed,8,,,0.000448
PDT,PP,Directed,9,,,0.102691
PDT,PPS,Directed,10,,,0.026457
PDT,PRP,Directed,11,,,0.026009
PDT,PSL,Directed,12,,,0.018834
PDT,AVANTE,Directed,13,,,0.034978
PDT,PSB,Directed,14,,,0.096413
PDT,PRB,Directed,15,,,0.046637
PDT,PTB,Directed,16,,,0.077578
PDT,PT,Directed,17,,,0.412556
PDT,DC,Directed,18,,,0.023318
PDT,DEM,Directed,19,,,0.055157
PDT,SD,Directed,20,,,0.00583
PDT,PODE,Directed,21,,,0.032735
PDT,PSD,Directed,22,,,0.198655
PDT,PRTB,Directed,23,,,0.01435
PDT,PMN,Directed,24,,,0.019731
PDT,PTC,Directed,25,,,0.020179
PDT,PPL,Directed,26,,,0.020628
PDT,PR,Directed,27,,,0.03722
PDT,PSC,Directed,28,,,0.054709
PDT,PSDB,Directed,29,,,0.1
PDT,PSTU,Directed,30,,,0.010762
PV,PDT,Directed,31,,,0.043049
PV,PV,Directed,32,,,0.357848
PV,PATRI,Directed,33,,,0.003587
PV,PC DO B,Directed,34,,,0.02287
PV,PSOL,Directed,35,,,0.013901
PV,MDB,Directed,36,,,0.07713
PV,PCB,Directed,37,,,0.000448
PV,PHS,Directed,38,,,0.011659
PV,PP,Directed,39,,,0.036771
PV,PPS,Directed,40,,,0.013004
PV,PT,Directed,41,,,0.107623
PV,PSTU,Directed,42,,,0.004484
PV,AVANTE,Directed,43,,,0.016592
PV,PSB,Directed,44,,,0.042152
PV,PRB,Directed,45,,,0.023318
PV,PRP,Directed,46,,,0.013004
PV,DC,Directed,47,,,0.013004
PV,DEM,Directed,48,,,0.019283
PV,PTB,Directed,49,,,0.018834
PV,PODE,Directed,50,,,0.009865
PV,PSD,Directed,51,,,0.106726
PV,PRTB,Directed,52,,,0.008969
PV,PMN,Directed,53,,,0.010314
PV,PTC,Directed,54,,,0.004933
PV,PPL,Directed,55,,,0.006278
PV,PR,Directed,56,,,0.023318
PV,PSC,Directed,57,,,0.03139
PV,PSDB,Directed,58,,,0.053812
PV,PSL,Directed,59,,,0.008072
PATRI,PT,Directed,60,,,0.000448
PC DO B,PDT,Directed,61,,,0.040807
PC DO B,PV,Directed,62,,,0.012556
PC DO B,PATRI,Directed,63,,,0.001794
PC DO B,PC DO B,Directed,64,,,0.226457
PC DO B,PSOL,Directed,65,,,0.017489
PC DO B,MDB,Directed,66,,,0.062332
PC DO B,PCB,Directed,67,,,0.001794
PC DO B,PHS,Directed,68,,,0.009865
PC DO B,PP,Directed,69,,,0.022422
PC DO B,SD,Directed,70,,,0.000897
PC DO B,PT,Directed,71,,,0.155605
PC DO B,PSTU,Directed,72,,,0.009865
PC DO B,AVANTE,Directed,73,,,0.027354
PC DO B,PSB,Directed,74,,,0.024215
PC DO B,PRB,Directed,75,,,0.016143
PC DO B,PRP,Directed,76,,,0.007175
PC DO B,PSD,Directed,77,,,0.062332
PC DO B,DEM,Directed,78,,,0.012108
PC DO B,DC,Directed,79,,,0.007623
PC DO B,PTB,Directed,80,,,0.025112
PC DO B,PODE,Directed,81,,,0.008072
PC DO B,PPS,Directed,82,,,0.008072
PC DO B,PRTB,Directed,83,,,0.007623
PC DO B,PMN,Directed,84,,,0.006278
PC DO B,PTC,Directed,85,,,0.006726
PC DO B,PPL,Directed,86,,,0.006278
PC DO B,PR,Directed,87,,,0.012556
PC DO B,PSC,Directed,88,,,0.015247
PC DO B,PSDB,Directed,89,,,0.038117
PC DO B,PSL,Directed,90,,,0.006726
PSOL,PDT,Directed,91,,,0.018386
PSOL,PV,Directed,92,,,0.006278
PSOL,PATRI,Directed,93,,,0.000448
PSOL,PC DO B,Directed,94,,,0.008969
PSOL,PSOL,Directed,95,,,0.212556
PSOL,MDB,Directed,96,,,0.014798
PSOL,PPS,Directed,97,,,0.002691
PSOL,PHS,Directed,98,,,0.001794
PSOL,PRP,Directed,99,,,0.003587
PSOL,PP,Directed,100,,,0.008072
PSOL,PMN,Directed,101,,,0.000448
PSOL,PSL,Directed,102,,,0.002242
PSOL,AVANTE,Directed,103,,,0.006278
PSOL,PSB,Directed,104,,,0.01435
PSOL,PRB,Directed,105,,,0.004484
PSOL,PT,Directed,106,,,0.04843
PSOL,DC,Directed,107,,,0.003139
PSOL,DEM,Directed,108,,,0.004484
PSOL,PTB,Directed,109,,,0.003139
PSOL,PODE,Directed,110,,,0.002691
PSOL,PSD,Directed,111,,,0.021525
