Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PPL,PPL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013253,0,0,0,0
PRB,PRB,,5,0,5,1,0,1,0,0,0,0,0.304841,0,10,0.039931,1,1,0.25,0.713905
PC DO B,PC DO B,,1,0,1,0.166667,0,0.166667,0,0,0,0,0.054547,0,4,0.018711,1,2,0,0.077577
PMN,PMN,,2,0,2,0.333333,0,0.333333,0,0,0,0,0.109509,0,9,0.022506,1,3,0,0.157368
PODE,PODE,,1,3,4,0.166667,0.5,0.666667,5,0.388889,0.469841,15,0.046044,0.153885,5,0.01912,1,8,0.333333,0.210461
PSOL,PSOL,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.013253,2,9,0,0
PCB,PCB,,0,0,0,0,0,0,0,0,0,0,0,0,2,0.013253,3,10,0,0
PRP,PRP,,1,0,1,0.333333,0,0.333333,0,0,0,0,0.046044,0,5,0.01912,1,7,0,0.210461
PATRI,PATRI,,2,1,3,0.333333,0.166667,0.5,5,0.33871,0.386508,5.083333,0.162238,0.008893,10,0.023006,1,8,0.5,0.34301
PSC,PSC,,3,6,9,0.5,1,1.5,4,0.477273,0.583333,57.25,0.070944,0.29259,4,0.03804,1,8,0.142857,0.303905
PSD,PSD,,4,10,14,0.666667,2.333333,3,3,0.6,0.714286,53.333333,0.140594,0.488589,10,0.044353,1,8,0.174242,0.605677
PSDB,PSDB,,2,6,8,0.5,1.333333,1.833333,4,0.488372,0.59127,29.166667,0.047702,0.310641,9,0.038982,1,8,0.232143,0.294187
PTC,PTC,,0,1,1,0,0.166667,0.166667,5,0.333333,0.380303,0,0,0.013226,4,0.013253,1,12,0,0
PT,PT,,0,1,1,0,0.166667,0.166667,1,1,1,0,0,0.092193,9,0.013253,1,13,0,0
PTB,PTB,,7,5,12,1.333333,0.833333,2.166667,3,0.5,0.563492,65.75,0.284264,0.128446,5,0.048965,1,8,0.375,1
AVANTE,AVANTE,,1,1,2,0.166667,0.166667,0.333333,4,0.355932,0.400794,5,0.028689,0.032665,5,0.01874,1,8,0.5,0.052026
MDB,MDB,,6,8,14,1.166667,2.333333,3.5,3,0.525,0.626984,99.75,0.175217,0.246973,5,0.054186,1,8,0.234848,0.862821
DEM,DEM,,2,2,4,0.5,0.333333,0.833333,4,0.42,0.47619,0,0.162238,0.095523,10,0.023006,1,8,0.666667,0.34301
DC,DC,,0,0,0,0,0,0,0,0,0,0,0,0,6,0.013253,5,14,0,0
PCO,PCO,,0,0,0,0,0,0,0,0,0,0,0,0,7,0.013253,6,15,0,0
PPS,PPS,,2,4,6,0.333333,0.666667,1,4,0.381818,0.47619,3.666667,0.103957,0.278638,5,0.024691,1,8,0.2,0.283038
PV,PV,,0,2,2,0,0.333333,0.333333,4,0.407407,0.465909,0,0,0.04275,5,0.013253,1,16,0,0
PSTU,PSTU,,0,0,0,0,0,0,0,0,0,0,0,0,8,0.013253,7,17,0,0
PSL,PSL,,0,1,1,0,0.166667,0.166667,1,1,1,0,0,0.092193,9,0.013253,1,18,0,0
PROS,PROS,,7,0,7,2.666667,0,2.666667,0,0,0,0,0.410984,0,4,0.049071,1,4,0.261905,0.876273
PHS,PHS,,2,3,5,0.333333,0.5,0.833333,4,0.446809,0.511905,9.75,0.09772,0.148518,4,0.023653,1,8,0.416667,0.327843
PR,PR,,6,7,13,1.166667,2.333333,3.5,4,0.477273,0.603175,52.75,0.302226,0.381659,10,0.047909,1,8,0.212121,0.80362
SD,SD,,11,0,11,3.833333,0,3.833333,0,0,0,0,0.494521,0,9,0.091456,1,5,0.109091,0.933033
PSB,PSB,,8,7,15,1.666667,2.166667,3.833333,3,0.5,0.595238,71.75,0.371791,0.247414,4,0.054438,1,8,0.295455,0.986938
PRTB,PRTB,,1,1,2,0.166667,0.166667,0.333333,1,1,1,0,0.091087,0.092193,10,0.017077,1,6,0.5,0.147121
PDT,PDT,,3,6,9,0.5,2,2.5,4,0.411765,0.515873,13.416667,0.054094,0.276758,9,0.02569,1,8,0.238095,0.330318
PP,PP,,2,4,6,0.666667,0.833333,1.5,5,0.355932,0.461905,6.333333,0.145634,0.238869,10,0.022534,1,8,0.2,0.224698
