Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PRB,PRB,,5,2,7,0.25,0.1,0.35,2,0.6,0.666667,9,0.223645,0.052636,0,0.039358,0,3,0.166667,0.246768
PMN,PMN,,0,2,2,0,0.35,0.35,4,0.423077,0.507576,0,0,0.236332,5,0.014148,0,12,0.5,0
PODE,PODE,,1,1,2,0.1,0.05,0.15,3,0.444444,0.541667,7,0.052875,0,1,0.020906,0,6,0,0.064208
PSOL,PSOL,,0,0,0,0,0,0,0,0,0,0,0,0,2,0.014148,1,13,0,0
PRP,PRP,,1,0,1,0.05,0,0.05,0,0,0,0,0.083936,0,1,0.020458,0,8,0,0.046497
PPL,PPL,,0,0,0,0,0,0,0,0,0,0,0,0,3,0.014148,2,14,0,0
PCB,PCB,,0,0,0,0,0,0,0,0,0,0,0,0,4,0.014148,3,15,0,0
PSC,PSC,,0,2,2,0,0.25,0.25,4,0.461538,0.597222,0,0,0.215205,5,0.014148,0,17,0.5,0
PSD,PSD,,15,0,15,3,0,3,0,0,0,0,0.878721,0,5,0.180958,0,0,0.07619,1
PSDB,PSDB,,3,2,5,0.15,0.15,0.3,3,0.571429,0.708333,8,0.221732,0.231273,0,0.030571,0,10,0.25,0.080325
PTC,PTC,,1,1,2,0.05,0.05,0.1,2,0.6,0.666667,3,0,0.052636,1,0.032249,0,5,0,0.047816
PTB,PTB,,1,4,5,0.05,0.25,0.3,4,0.48,0.604167,11,0.049874,0.339549,0,0.018251,0,18,0.2,0.027897
AVANTE,AVANTE,,0,1,1,0,0.05,0.05,3,0.444444,0.541667,0,0,0.05183,0,0.014148,0,19,0,0
PC DO B,PC DO B,,0,1,1,0,0.05,0.05,1,1,1,0,0,0.203646,5,0.014148,0,20,0,0
DEM,DEM,,1,4,5,0.05,1.15,1.2,3,0.533333,0.645833,0,0,0.290533,5,0.014148,0,21,0.333333,0.027897
PT,PT,,1,3,4,0.05,0.15,0.2,5,0.351351,0.444872,0,0,0.215205,0,0.014148,0,22,0.5,0.027897
PCO,PCO,,0,0,0,0,0,0,0,0,0,0,0,0,6,0.014148,4,23,0,0
PPS,PPS,,1,1,2,0.05,0.15,0.2,1,1,1,0,0.049874,0.203646,5,0.048995,0,1,0.5,0.29354
PV,PV,,0,2,2,0,0.25,0.25,4,0.454545,0.616667,0,0,0.255033,5,0.014148,0,24,0.5,0
MDB,MDB,,5,2,7,0.3,0.3,0.6,1,1,1,21,0.227121,0.215205,1,0.080746,0,2,0.095238,0.504178
PSTU,PSTU,,0,0,0,0,0,0,0,0,0,0,0,0,7,0.014148,5,25,0,0
PSL,PSL,,0,0,0,0,0,0,0,0,0,0,0,0,8,0.014148,6,26,0,0
DC,DC,,0,0,0,0,0,0,0,0,0,0,0,0,9,0.014148,7,27,0,0
PHS,PHS,,2,3,5,0.1,0.15,0.25,2,0.75,0.833333,2,0.052875,0.256282,1,0.020906,0,4,0.416667,0.166443
PR,PR,,3,5,8,0.15,0.4,0.55,3,0.625,0.733333,31,0.141037,0.362178,1,0.036569,0,11,0.107143,0.039758
PSB,PSB,,3,3,6,0.25,0.2,0.45,2,0.75,0.833333,6,0.119208,0.256282,0,0.033161,0,9,0.35,0.238274
PRTB,PRTB,,0,1,1,0,0.05,0.05,4,0.407407,0.462121,0,0,0.032686,1,0.014148,0,28,0,0
PDT,PDT,,2,3,5,0.1,0.4,0.5,3,0.6,0.722222,18,0.151268,0.228154,1,0.023535,0,7,0.15,0.074395
PP,PP,,1,3,4,0.05,0.25,0.3,3,0.625,0.766667,4,0.049874,0.283103,5,0.020302,0,16,0.166667,0.00593
