Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PPL,PPL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013955,0,0,0,0
PRB,PRB,,0,1,1,0,0.5,0.5,5,0.32,0.4,0,0,0.081952,9,0.013955,1,6,0,0
PC DO B,PC DO B,,0,1,1,0,0.5,0.5,4,0.421053,0.489583,0,0,0.074508,9,0.013955,1,7,0,0
PMN,PMN,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.013955,2,8,0,0
PODE,PODE,,5,0,5,3,0,3,0,0,0,0,0.684391,0,8,0.134285,1,1,0.15,1
PSOL,PSOL,,0,0,0,0,0,0,0,0,0,0,0,0,2,0.013955,3,9,0,0
PCB,PCB,,0,0,0,0,0,0,0,0,0,0,0,0,3,0.013955,4,10,0,0
PRP,PRP,,0,0,0,0,0,0,0,0,0,0,0,0,4,0.013955,5,11,0,0
PATRI,PATRI,,0,0,0,0,0,0,0,0,0,0,0,0,5,0.013955,6,12,0,0
PSC,PSC,,0,1,1,0,0.5,0.5,3,0.5,0.611111,0,0,0.17269,14,0.013955,1,13,0,0
PSD,PSD,,1,2,3,0.5,1,1.5,6,0.322581,0.453333,8,0,0.195797,10,0.02241,1,16,0,0.020451
NOVO,NOVO,,0,0,0,0,0,0,0,0,0,0,0,0,6,0.013955,7,17,0,0
PTC,PTC,,1,0,1,0.5,0,0.5,0,0,0,0,0,0,15,0.025818,8,18,0,0.006329
PT,PT,,0,2,2,0,1.5,1.5,5,0.342857,0.440278,0,0,0.078671,7,0.013955,1,20,0,0
PTB,PTB,,2,3,5,1,1.5,2.5,3,0.538462,0.666667,28,0,0.427198,8,0.059451,1,5,0.05,0.219037
AVANTE,AVANTE,,3,0,3,1.5,0,1.5,0,0,0,0,0.201977,0,7,0.042652,1,4,0,0.175821
MDB,MDB,,2,3,5,1,2,3,4,0.5,0.654762,14,0.357159,0.482311,8,0.048541,1,5,0.25,0.439767
DEM,DEM,,2,1,3,1.5,0.5,2,4,0.411765,0.488095,22,0.238554,0,9,0.043571,1,5,0,0.282934
PROS,PROS,,3,1,4,1.5,1,2.5,4,0.421053,0.489583,28,0.036902,0.074508,10,0.051718,1,14,0,0.059206
REDE,REDE,,0,0,0,0,0,0,0,0,0,0,0,0,11,0.013955,9,21,0,0
PCO,PCO,,0,0,0,0,0,0,0,0,0,0,0,0,12,0.013955,10,22,0,0
PPS,PPS,,0,0,0,0,0,0,0,0,0,0,0,0,13,0.013955,11,23,0,0
PV,PV,,1,1,2,0.5,0.5,1,1,1,1,3,0,0.235114,14,0.070767,1,2,0,0.416345
PSDB,PSDB,,4,1,5,2,0.5,2.5,2,0.666667,0.75,16,0.502681,0,14,0.066854,1,3,0.1,0.614688
PSL,PSL,,0,1,1,0,0.5,0.5,1,1,1,0,0,0,15,0.013955,8,24,0,0
PSTU,PSTU,,0,0,0,0,0,0,0,0,0,0,0,0,16,0.013955,12,25,0,0
DC,DC,,0,0,0,0,0,0,0,0,0,0,0,0,17,0.013955,13,26,0,0
PMB,PMB,,0,1,1,0,0.5,0.5,5,0.321429,0.392593,0,0,0.012677,10,0.013955,1,27,0,0
PHS,PHS,,0,0,0,0,0,0,0,0,0,0,0,0,18,0.013955,14,28,0,0
PR,PR,,0,1,1,0,0.5,0.5,1,1,1,0,0,0.235114,8,0.013955,1,29,0,0
SD,SD,,1,1,2,0.5,0.5,1,5,0.321429,0.392593,8,0.067264,0.012677,10,0.023483,1,15,0,0.035769
PSB,PSB,,3,4,7,2,2.5,4.5,3,0.636364,0.761905,44,0.216884,0.612453,9,0.083551,1,5,0.066667,0.382644
PRTB,PRTB,,0,0,0,0,0,0,0,0,0,0,0,0,19,0.013955,15,30,0,0
PDT,PDT,,1,2,3,1,1,2,4,0.44,0.522727,10,0.027026,0,7,0.019887,1,19,0,0.006329
PP,PP,,0,2,2,0,1,1,4,0.375,0.481481,0,0,0.082064,7,0.013955,1,31,0,0
