Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PPL,PPL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023673,0,0,0,0
PRB,PRB,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.023673,1,1,0,0
PMN,PMN,,0,0,0,0,0,0,0,0,0,0,0,0,2,0.023673,2,2,0,0
PODE,PODE,,0,0,0,0,0,0,0,0,0,0,0,0,3,0.023673,3,3,0,0
PSOL,PSOL,,0,0,0,0,0,0,0,0,0,0,0,0,4,0.023673,4,4,0,0
PCB,PCB,,0,0,0,0,0,0,0,0,0,0,0,0,5,0.023673,5,5,0,0
PRP,PRP,,0,0,0,0,0,0,0,0,0,0,0,0,6,0.023673,6,6,0,0
PATRI,PATRI,,1,0,1,0.5,0,0.5,0,0,0,0,0.707107,0,7,0.040928,7,7,0,0.617833
PSC,PSC,,1,0,1,0.5,0,0.5,0,0,0,0,0,0,11,0.044754,8,8,0,0.006178
PSD,PSD,,2,1,3,1,0.5,1.5,0,0,0,0,0,0,24,0.044754,9,9,0.5,0.211598
PSDB,PSDB,,2,3,5,1.5,2,3.5,1,1,1,1,0,1,7,0.058887,7,10,0.5,1
PTC,PTC,,0,0,0,0,0,0,0,0,0,0,0,0,8,0.023673,10,11,0,0
PTB,PTB,,0,0,0,0,0,0,0,0,0,0,0,0,9,0.023673,11,12,0,0
AVANTE,AVANTE,,0,0,0,0,0,0,0,0,0,0,0,0,10,0.023673,12,13,0,0
MDB,MDB,,0,1,1,0,0.5,0.5,1,1,1,0,0,0,11,0.023673,8,14,0,0
DEM,DEM,,0,0,0,0,0,0,0,0,0,0,0,0,12,0.023673,13,15,0,0
PT,PT,,0,0,0,0,0,0,0,0,0,0,0,0,13,0.023673,14,16,0,0
PCO,PCO,,0,0,0,0,0,0,0,0,0,0,0,0,14,0.023673,15,17,0,0
PPS,PPS,,0,0,0,0,0,0,0,0,0,0,0,0,15,0.023673,16,18,0,0
PV,PV,,0,0,0,0,0,0,0,0,0,0,0,0,16,0.023673,17,19,0,0
PSTU,PSTU,,0,0,0,0,0,0,0,0,0,0,0,0,17,0.023673,18,20,0,0
PSL,PSL,,0,0,0,0,0,0,0,0,0,0,0,0,18,0.023673,19,21,0,0
DC,DC,,0,0,0,0,0,0,0,0,0,0,0,0,19,0.023673,20,22,0,0
PHS,PHS,,0,0,0,0,0,0,0,0,0,0,0,0,20,0.023673,21,23,0,0
PR,PR,,1,1,2,0.5,0.5,1,2,0.666667,0.75,0,0.707107,0,7,0.040928,7,10,0,0.617833
PSB,PSB,,0,0,0,0,0,0,0,0,0,0,0,0,21,0.023673,22,24,0,0
PRTB,PRTB,,0,0,0,0,0,0,0,0,0,0,0,0,22,0.023673,23,25,0,0
PDT,PDT,,0,0,0,0,0,0,0,0,0,0,0,0,23,0.023673,24,26,0,0
PP,PP,,0,1,1,0,0.5,0.5,1,1,1,0,0,0,24,0.023673,9,27,0,0
0,PC DO B,,0,0,0,0,0,0,0,0,0,0,0,0,25,0.023673,25,28,0,0
