Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PRB,PRB,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035907,0,0,0,0
PMN,PMN,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.035907,1,1,0,0
PODE,PODE,,0,0,0,0,0,0,0,0,0,0,0,0,2,0.035907,2,2,0,0
PSOL,PSOL,,0,0,0,0,0,0,0,0,0,0,0,0,3,0.035907,3,3,0,0
PRP,PRP,,0,0,0,0,0,0,0,0,0,0,0,0,4,0.035907,4,4,0,0
PCB,PCB,,0,0,0,0,0,0,0,0,0,0,0,0,5,0.035907,5,5,0,0
PSC,PSC,,0,0,0,0,0,0,0,0,0,0,0,0,6,0.035907,6,6,0,0
PSD,PSD,,0,0,0,0,0,0,0,0,0,0,0,0,7,0.035907,7,7,0,0
PSDB,PSDB,,0,0,0,0,0,0,0,0,0,0,0,0,8,0.035907,8,8,0,0
PTC,PTC,,0,0,0,0,0,0,0,0,0,0,0,0,9,0.035907,9,9,0,0
PTB,PTB,,0,0,0,0,0,0,0,0,0,0,0,0,10,0.035907,10,10,0,0
AVANTE,AVANTE,,0,0,0,0,0,0,0,0,0,0,0,0,11,0.035907,11,11,0,0
PC DO B,PC DO B,,0,0,0,0,0,0,0,0,0,0,0,0,12,0.035907,12,12,0,0
DEM,DEM,,0,0,0,0,0,0,0,0,0,0,0,0,13,0.035907,13,13,0,0
PT,PT,,0,0,0,0,0,0,0,0,0,0,0,0,14,0.035907,14,14,0,0
PCO,PCO,,0,0,0,0,0,0,0,0,0,0,0,0,15,0.035907,15,15,0,0
PPS,PPS,,0,0,0,0,0,0,0,0,0,0,0,0,16,0.035907,16,16,0,0
PV,PV,,0,0,0,0,0,0,0,0,0,0,0,0,17,0.035907,17,17,0,0
MDB,MDB,,0,0,0,0,0,0,0,0,0,0,0,0,18,0.035907,18,18,0,0
PSTU,PSTU,,0,0,0,0,0,0,0,0,0,0,0,0,19,0.035907,19,19,0,0
PSL,PSL,,0,0,0,0,0,0,0,0,0,0,0,0,20,0.035907,20,20,0,0
DC,DC,,0,0,0,0,0,0,0,0,0,0,0,0,21,0.035907,21,21,0,0
PHS,PHS,,0,0,0,0,0,0,0,0,0,0,0,0,22,0.035907,22,22,0,0
PR,PR,,0,1,1,0,1,1,1,1,1,0,0,1,25,0.035907,23,24,0,0
PRTB,PRTB,,0,0,0,0,0,0,0,0,0,0,0,0,23,0.035907,24,25,0,0
PDT,PDT,,0,0,0,0,0,0,0,0,0,0,0,0,24,0.035907,25,26,0,0
PP,PP,,1,0,1,1,0,1,0,0,0,0,1,0,25,0.066428,23,23,0,1
