Source,Target,Type,Id,Label,timeset,Weight
PMN,PTB,Directed,0,,,0.333333
PMN,PP,Directed,1,,,0.333333
PODE,PSDB,Directed,2,,,0.333333
PODE,DEM,Directed,3,,,0.333333
PSC,PR,Directed,4,,,0.333333
PSDB,PR,Directed,5,,,1
PSDB,PSB,Directed,6,,,0.666667
PSDB,MDB,Directed,7,,,0.666667
PSDB,PV,Directed,8,,,0.666667
PSDB,PDT,Directed,9,,,0.666667
PSDB,PMN,Directed,10,,,0.333333
PSDB,DC,Directed,11,,,0.333333
PSDB,DEM,Directed,12,,,0.666667
PTB,PR,Directed,13,,,0.333333
PTB,PMN,Directed,14,,,0.333333
PTB,PSB,Directed,15,,,0.333333
PTB,PV,Directed,16,,,0.333333
PTB,PHS,Directed,17,,,0.333333
AVANTE,PR,Directed,18,,,0.333333
PC DO B,MDB,Directed,19,,,0.333333
DEM,PSB,Directed,20,,,0.333333
DEM,PP,Directed,21,,,0.333333
DEM,PPS,Directed,22,,,0.333333
DEM,PV,Directed,23,,,0.333333
DEM,PDT,Directed,24,,,1
PT,PR,Directed,25,,,0.333333
PT,PV,Directed,26,,,0.333333
PPS,PRB,Directed,27,,,0.333333
PPS,PPS,Directed,28,,,0.333333
PPS,MDB,Directed,29,,,0.333333
PPS,PSDB,Directed,30,,,0.333333
PPS,PP,Directed,31,,,0.333333
PPS,PHS,Directed,32,,,0.333333
PV,DEM,Directed,33,,,0.333333
PV,PV,Directed,34,,,0.333333
MDB,PR,Directed,35,,,1
MDB,PSC,Directed,36,,,1
MDB,PPS,Directed,37,,,0.333333
MDB,MDB,Directed,38,,,0.333333
MDB,PDT,Directed,39,,,0.333333
MDB,PRB,Directed,40,,,0.666667
MDB,PSDB,Directed,41,,,0.333333
MDB,DEM,Directed,42,,,0.333333
MDB,PT,Directed,43,,,0.333333
DC,PR,Directed,44,,,0.333333
DC,PSC,Directed,45,,,0.333333
PHS,PTB,Directed,46,,,0.333333
PHS,PDT,Directed,47,,,0.333333
PR,PP,Directed,48,,,0.666667
PR,PRP,Directed,49,,,0.333333
PR,PODE,Directed,50,,,0.333333
PR,PDT,Directed,51,,,0.666667
PR,PRB,Directed,52,,,0.333333
PSB,PSDB,Directed,53,,,0.666667
PSB,PSB,Directed,54,,,0.333333
PRTB,PR,Directed,55,,,0.666667
PRTB,DEM,Directed,56,,,0.333333
PRTB,PC DO B,Directed,57,,,0.333333
PDT,PTB,Directed,58,,,0.333333
PDT,PSC,Directed,59,,,0.666667
PDT,PSB,Directed,60,,,0.333333
PDT,MDB,Directed,61,,,0.666667
PP,PRB,Directed,62,,,0.333333
PP,PSC,Directed,63,,,0.333333
PP,PSB,Directed,64,,,0.333333
PP,PSDB,Directed,65,,,0.666667
PP,PDT,Directed,66,,,1
PP,PR,Directed,67,,,0.333333
