Source,Target,Type,Id,Label,timeset,Weight
PRB,PR,Directed,0,,,0.25
PRB,PRP,Directed,1,,,0.25
PRB,PROS,Directed,2,,,0.25
PRB,MDB,Directed,3,,,0.25
PC DO B,AVANTE,Directed,4,,,0.25
PODE,PP,Directed,5,,,0.5
PODE,DEM,Directed,6,,,0.5
PODE,MDB,Directed,7,,,0.25
PODE,PHS,Directed,8,,,0.25
PODE,PR,Directed,9,,,0.25
PRP,DEM,Directed,10,,,0.25
PSC,PSD,Directed,11,,,0.25
PSC,PSL,Directed,12,,,0.75
PSD,PR,Directed,13,,,0.25
PSD,PSB,Directed,14,,,0.25
PSD,PODE,Directed,15,,,0.25
PSD,PP,Directed,16,,,0.5
PSD,MDB,Directed,17,,,0.75
PSD,PROS,Directed,18,,,0.25
PSD,DEM,Directed,19,,,0.25
PSD,PHS,Directed,20,,,0.25
PT,PC DO B,Directed,21,,,0.5
PT,PTC,Directed,22,,,0.25
PTB,PP,Directed,23,,,0.25
PTB,PTB,Directed,24,,,0.25
PTB,PR,Directed,25,,,0.25
AVANTE,PSDB,Directed,26,,,0.25
AVANTE,PATRI,Directed,27,,,0.25
AVANTE,PTB,Directed,28,,,0.25
MDB,PSD,Directed,29,,,0.5
MDB,PR,Directed,30,,,0.5
MDB,SD,Directed,31,,,0.25
MDB,PODE,Directed,32,,,0.75
MDB,MDB,Directed,33,,,0.25
MDB,PDT,Directed,34,,,0.25
MDB,PRB,Directed,35,,,0.25
MDB,PP,Directed,36,,,0.5
MDB,PROS,Directed,37,,,0.5
MDB,DEM,Directed,38,,,0.75
MDB,PT,Directed,39,,,0.25
DEM,PSD,Directed,40,,,0.5
DEM,AVANTE,Directed,41,,,0.25
DEM,PP,Directed,42,,,0.25
DEM,PSB,Directed,43,,,0.25
DEM,PSDB,Directed,44,,,0.25
PROS,PODE,Directed,45,,,0.25
REDE,PSB,Directed,46,,,0.5
PPS,DEM,Directed,47,,,0.25
PV,PP,Directed,48,,,0.25
PV,PPL,Directed,49,,,0.25
PV,PODE,Directed,50,,,0.25
PSDB,PSD,Directed,51,,,0.25
PSDB,PR,Directed,52,,,0.25
PSDB,SD,Directed,53,,,0.25
PSDB,PPS,Directed,54,,,0.25
PSDB,MDB,Directed,55,,,0.25
PSDB,PRB,Directed,56,,,0.25
PSDB,DEM,Directed,57,,,0.25
PSL,PP,Directed,58,,,0.25
PSL,PODE,Directed,59,,,0.25
PHS,PSD,Directed,60,,,0.25
PHS,PATRI,Directed,61,,,0.25
PHS,SD,Directed,62,,,0.5
PHS,PODE,Directed,63,,,0.5
PHS,AVANTE,Directed,64,,,0.25
PR,SD,Directed,65,,,0.25
PR,AVANTE,Directed,66,,,0.25
PR,PSL,Directed,67,,,0.5
PR,PRP,Directed,68,,,0.25
PR,PROS,Directed,69,,,0.25
PR,DEM,Directed,70,,,0.25
PR,PHS,Directed,71,,,0.5
SD,PSL,Directed,72,,,0.75
SD,PODE,Directed,73,,,0.25
SD,PP,Directed,74,,,0.25
PSB,PSD,Directed,75,,,0.25
PSB,PRB,Directed,76,,,0.25
PSB,PSC,Directed,77,,,1
PSB,PP,Directed,78,,,0.25
PSB,MDB,Directed,79,,,0.5
PSB,PSDB,Directed,80,,,0.5
PSB,SD,Directed,81,,,0.25
PSB,PROS,Directed,82,,,0.5
PSB,DEM,Directed,83,,,0.75
PSB,PR,Directed,84,,,0.25
PDT,PR,Directed,85,,,0.25
PDT,SD,Directed,86,,,0.25
PP,PR,Directed,87,,,0.25
PP,PMN,Directed,88,,,0.25
PP,PSDB,Directed,89,,,0.25
