Source,Target,Type,Id,Label,timeset,Weight
PRB,PP,Directed,0,,,0.5
PRB,PROS,Directed,1,,,0.25
PC DO B,PDT,Directed,2,,,0.25
PMN,PODE,Directed,3,,,0.25
PODE,PR,Directed,4,,,0.5
PRP,PODE,Directed,5,,,0.25
PATRI,PP,Directed,6,,,0.25
PSC,PSD,Directed,7,,,1
PSC,PSDB,Directed,8,,,0.25
PSC,PATRI,Directed,9,,,0.25
PSD,PRB,Directed,10,,,0.25
PSD,PSC,Directed,11,,,0.25
PSD,PSB,Directed,12,,,0.25
PSD,MDB,Directed,13,,,0.75
PSD,PR,Directed,14,,,0.25
PSD,PP,Directed,15,,,0.25
PSD,PROS,Directed,16,,,0.25
PSD,DEM,Directed,17,,,0.25
PTC,PV,Directed,18,,,0.25
PT,PC DO B,Directed,19,,,0.25
PT,PROS,Directed,20,,,0.25
PTB,PSD,Directed,21,,,0.25
PTB,PR,Directed,22,,,0.25
PTB,PTC,Directed,23,,,0.25
PTB,PODE,Directed,24,,,0.25
PTB,PTB,Directed,25,,,0.25
PTB,PSL,Directed,26,,,0.25
PTB,PROS,Directed,27,,,0.25
PTB,PATRI,Directed,28,,,0.25
AVANTE,PP,Directed,29,,,0.25
MDB,PSD,Directed,30,,,0.25
MDB,PR,Directed,31,,,0.25
MDB,SD,Directed,32,,,0.25
MDB,PSDB,Directed,33,,,0.5
MDB,PODE,Directed,34,,,0.25
MDB,PDT,Directed,35,,,0.25
MDB,PRB,Directed,36,,,0.25
MDB,PP,Directed,37,,,0.25
MDB,PATRI,Directed,38,,,0.25
MDB,PHS,Directed,39,,,0.25
PROS,PSB,Directed,40,,,0.25
PROS,PODE,Directed,41,,,0.25
PROS,PDT,Directed,42,,,0.75
PROS,PP,Directed,43,,,0.5
PROS,DEM,Directed,44,,,0.25
PROS,PHS,Directed,45,,,0.5
REDE,PPS,Directed,46,,,0.25
PPS,PSD,Directed,47,,,0.25
PPS,MDB,Directed,48,,,0.25
PPS,PDT,Directed,49,,,0.25
PSDB,PR,Directed,50,,,0.25
PSDB,PODE,Directed,51,,,0.25
PSDB,PV,Directed,52,,,0.5
PSDB,MDB,Directed,53,,,0.25
PSDB,PRB,Directed,54,,,0.25
PSDB,PSL,Directed,55,,,0.25
PSL,PP,Directed,56,,,0.25
PMB,PSD,Directed,57,,,0.5
PMB,PR,Directed,58,,,0.75
PMB,SD,Directed,59,,,0.25
PMB,PODE,Directed,60,,,1
PMB,PDT,Directed,61,,,0.25
PMB,MDB,Directed,62,,,0.5
PMB,PSL,Directed,63,,,0.25
PMB,PP,Directed,64,,,0.25
PMB,PROS,Directed,65,,,0.25
PMB,DEM,Directed,66,,,0.5
PHS,MDB,Directed,67,,,0.25
PR,PRB,Directed,68,,,0.5
PR,DEM,Directed,69,,,0.5
PR,MDB,Directed,70,,,0.25
PR,PP,Directed,71,,,0.25
SD,PSD,Directed,72,,,0.25
SD,PR,Directed,73,,,0.25
SD,PPS,Directed,74,,,0.25
PSB,PSD,Directed,75,,,0.25
PSB,PR,Directed,76,,,0.25
PSB,PSOL,Directed,77,,,0.25
PSB,PHS,Directed,78,,,0.25
PDT,PR,Directed,79,,,0.25
PDT,PPS,Directed,80,,,0.25
PDT,DEM,Directed,81,,,0.25
PDT,PHS,Directed,82,,,0.25
PP,PR,Directed,83,,,0.25
PP,PSC,Directed,84,,,0.25
PP,DEM,Directed,85,,,0.25
