Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
PPL,PPL,,1,0,1,0.25,0,0.25,0,0,0,0,0.018303,0,0,0.00992,0,0,0,0.002107
PRB,PRB,,3,4,7,0.75,1,1.75,4,0.433962,0.514493,4.516667,0.214708,0.181509,4,0.020945,0,4,0.333333,0.348739
PC DO B,PC DO B,,1,1,2,0.5,0.25,0.75,5,0.298701,0.339855,21,0,0.016931,10,0.012341,0,4,0,0.033108
PMN,PMN,,1,0,1,0.25,0,0.25,0,0,0,0,0.016443,0,0,0.030255,0,2,0,0.208519
PODE,PODE,,7,5,12,2.5,1.75,4.25,3,0.5,0.572464,78.822222,0.23308,0.276121,4,0.076898,0,4,0.288889,0.765696
PSOL,PSOL,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.007728,1,5,0,0
PCB,PCB,,0,0,0,0,0,0,0,0,0,0,0,0,2,0.007728,2,6,0,0
PRP,PRP,,2,1,3,0.5,0.25,0.75,5,0.333333,0.376087,1.233333,0.071091,0.066468,4,0.021489,0,4,0.333333,0.284766
PATRI,PATRI,,2,0,2,0.5,0,0.5,0,0,0,0,0.032487,0,10,0.027093,0,3,0.5,0.2177
PSC,PSC,,1,2,3,1,1,2,4,0.377049,0.434783,1.095238,0.080588,0.059909,11,0.010516,0,4,0.333333,0.073258
PSD,PSD,,6,8,14,2,2.75,4.75,3,0.547619,0.644928,55.565873,0.281191,0.382564,4,0.044942,0,4,0.333333,0.672498
NOVO,NOVO,,0,0,0,0,0,0,0,0,0,0,0,0,3,0.007728,3,7,0,0
PTC,PTC,,1,0,1,0.25,0,0.25,0,0,0,0,0,0,10,0.012341,0,1,0,0.033108
PT,PT,,1,2,3,0.25,0.75,1,6,0.252747,0.315942,43,0.077585,0,10,0.010845,0,4,0,0.151934
PTB,PTB,,2,3,5,0.5,0.75,1.25,5,0.365079,0.434058,11.1,0.004883,0.135852,0,0.021122,0,4,0.416667,0.144144
AVANTE,AVANTE,,4,3,7,1,0.75,1.75,4,0.396552,0.467391,73.805556,0.099298,0.028636,10,0.047091,0,4,0.166667,0.526419
MDB,MDB,,6,11,17,2.25,4.75,7,3,0.575,0.688406,102.142857,0.280381,0.455025,4,0.040232,0,4,0.339744,0.724976
DEM,DEM,,8,5,13,3.25,1.5,4.75,4,0.469388,0.557971,90.633333,0.389826,0.168114,4,0.079291,0,4,0.288889,0.949686
PROS,PROS,,5,1,6,1.75,0.25,2,4,0.343284,0.380435,2.198413,0.294492,0.039742,4,0.032181,0,4,0.533333,0.65124
REDE,REDE,,0,1,1,0,0.5,0.5,4,0.375,0.416667,0,0,0.016489,11,0.007728,0,8,0,0
PCO,PCO,,0,0,0,0,0,0,0,0,0,0,0,0,5,0.007728,4,9,0,0
PPS,PPS,,1,1,2,0.25,0.25,0.5,5,0.328571,0.372464,0,0.056536,0.066468,6,0.01504,0,4,1,0.123547
PV,PV,,0,3,3,0,0.75,0.75,4,0.373134,0.44,0,0,0.107347,0,0.007728,0,10,0.166667,0
PSDB,PSDB,,4,7,11,1.25,1.75,3,3,0.511111,0.608696,94.546825,0.130578,0.331575,6,0.059986,0,4,0.333333,0.591384
PSL,PSL,,3,2,5,2,0.5,2.5,4,0.365079,0.42029,3.865079,0.070168,0.104226,11,0.0331,0,4,0.3,0.375198
PSTU,PSTU,,0,0,0,0,0,0,0,0,0,0,0,0,7,0.007728,5,11,0,0
DC,DC,,0,0,0,0,0,0,0,0,0,0,0,0,8,0.007728,6,12,0,0
PMB,PMB,,0,0,0,0,0,0,0,0,0,0,0,0,9,0.007728,7,13,0,0
PHS,PHS,,3,5,8,1,1.75,2.75,4,0.442308,0.536232,21.837302,0.152452,0.161896,10,0.034995,0,4,0.233333,0.512845
PR,PR,,9,7,16,2.5,2.25,4.75,5,0.425926,0.568116,84.502381,0.418563,0.23543,4,0.076497,0,4,0.233333,1
SD,SD,,6,3,9,1.75,1.25,3,4,0.377049,0.449275,18.098413,0.303445,0.116191,11,0.040841,0,4,0.305556,0.699488
PSB,PSB,,3,10,13,1,4.5,5.5,3,0.575,0.688406,59.207937,0.096705,0.472638,11,0.032641,0,4,0.281818,0.342248
PRTB,PRTB,,0,0,0,0,0,0,0,0,0,0,0,0,12,0.007728,8,14,0,0
PDT,PDT,,1,2,3,0.25,0.5,0.75,5,0.353846,0.423188,0,0.077585,0.123107,4,0.010845,0,4,0.5,0.151934
PP,PP,,9,3,12,3,0.75,3.75,4,0.418182,0.48913,52.828571,0.378196,0.096435,0,0.079038,0,4,0.265152,0.988403
