Source,Target,Type,Id,Label,timeset,Weight
PODE,PR,Directed,0,,,0.166667
PODE,SD,Directed,1,,,0.166667
PODE,AVANTE,Directed,2,,,0.166667
PATRI,PSDB,Directed,3,,,0.166667
PSC,PR,Directed,4,,,0.166667
PSC,PSB,Directed,5,,,0.166667
PSC,PTB,Directed,6,,,0.166667
PSC,PC DO B,Directed,7,,,0.166667
PSC,PP,Directed,8,,,0.166667
PSC,PROS,Directed,9,,,0.166667
PSD,PR,Directed,10,,,0.333333
PSD,SD,Directed,11,,,0.333333
PSD,PP,Directed,12,,,0.5
PSD,MDB,Directed,13,,,0.166667
PSD,DEM,Directed,14,,,0.166667
PSD,PRB,Directed,15,,,0.166667
PSD,PSB,Directed,16,,,0.166667
PSD,PRTB,Directed,17,,,0.166667
PSD,PROS,Directed,18,,,0.166667
PSD,PATRI,Directed,19,,,0.166667
PSDB,PR,Directed,20,,,0.166667
PSDB,SD,Directed,21,,,0.5
PSDB,PMN,Directed,22,,,0.166667
PSDB,PTB,Directed,23,,,0.166667
PSDB,PSB,Directed,24,,,0.166667
PSDB,PPS,Directed,25,,,0.166667
PTC,PSC,Directed,26,,,0.166667
PT,SD,Directed,27,,,0.166667
PTB,PSD,Directed,28,,,0.166667
PTB,PTB,Directed,29,,,0.166667
PTB,PSC,Directed,30,,,0.166667
PTB,MDB,Directed,31,,,0.166667
PTB,PR,Directed,32,,,0.166667
AVANTE,MDB,Directed,33,,,0.166667
MDB,PTB,Directed,34,,,0.333333
MDB,SD,Directed,35,,,0.5
MDB,PPS,Directed,36,,,0.166667
MDB,MDB,Directed,37,,,0.333333
MDB,PR,Directed,38,,,0.166667
MDB,PODE,Directed,39,,,0.166667
MDB,PRP,Directed,40,,,0.333333
MDB,PSDB,Directed,41,,,0.333333
DEM,PSD,Directed,42,,,0.166667
DEM,PSB,Directed,43,,,0.166667
PPS,PTB,Directed,44,,,0.166667
PPS,SD,Directed,45,,,0.166667
PPS,PROS,Directed,46,,,0.166667
PPS,PRB,Directed,47,,,0.166667
PV,MDB,Directed,48,,,0.166667
PV,PDT,Directed,49,,,0.166667
PSL,SD,Directed,50,,,0.166667
PHS,PSD,Directed,51,,,0.166667
PHS,PTB,Directed,52,,,0.166667
PHS,PSB,Directed,53,,,0.166667
PR,PSD,Directed,54,,,0.166667
PR,PRB,Directed,55,,,0.333333
PR,SD,Directed,56,,,0.666667
PR,PSB,Directed,57,,,0.166667
PR,DEM,Directed,58,,,0.333333
PR,PROS,Directed,59,,,0.5
PR,PATRI,Directed,60,,,0.166667
PSB,PTB,Directed,61,,,0.166667
PSB,PSB,Directed,62,,,0.333333
PSB,MDB,Directed,63,,,0.166667
PSB,PDT,Directed,64,,,0.166667
PSB,PRB,Directed,65,,,0.166667
PSB,PROS,Directed,66,,,1
PSB,PHS,Directed,67,,,0.166667
PRTB,SD,Directed,68,,,0.166667
PDT,PSB,Directed,69,,,0.333333
PDT,SD,Directed,70,,,0.833333
PDT,PMN,Directed,71,,,0.166667
PDT,PDT,Directed,72,,,0.166667
PDT,PROS,Directed,73,,,0.333333
PDT,PHS,Directed,74,,,0.166667
PP,PRB,Directed,75,,,0.166667
PP,SD,Directed,76,,,0.166667
PP,PROS,Directed,77,,,0.333333
PP,PSC,Directed,78,,,0.166667
