Source,Target,Type,Id,Label,timeset,Weight
PRB,DEM,Directed,0,,,0.5
PC DO B,PSB,Directed,1,,,0.5
PSC,PSDB,Directed,2,,,0.5
PSD,PSDB,Directed,3,,,0.5
PSD,SD,Directed,4,,,0.5
PT,AVANTE,Directed,5,,,0.5
PT,PDT,Directed,6,,,1
PTB,PODE,Directed,7,,,0.5
PTB,AVANTE,Directed,8,,,0.5
PTB,MDB,Directed,9,,,0.5
MDB,PSDB,Directed,10,,,0.5
MDB,PSB,Directed,11,,,0.5
MDB,PODE,Directed,12,,,1
DEM,PTB,Directed,13,,,0.5
PROS,PSB,Directed,14,,,1
PV,PODE,Directed,15,,,0.5
PSDB,PV,Directed,16,,,0.5
PSL,PTC,Directed,17,,,0.5
PMB,PROS,Directed,18,,,0.5
PR,PODE,Directed,19,,,0.5
SD,PROS,Directed,20,,,0.5
PSB,PODE,Directed,21,,,0.5
PSB,DEM,Directed,22,,,1
PSB,MDB,Directed,23,,,0.5
PSB,PSDB,Directed,24,,,0.5
PDT,PSD,Directed,25,,,0.5
PDT,PTB,Directed,26,,,0.5
PP,AVANTE,Directed,27,,,0.5
PP,PROS,Directed,28,,,0.5
